Home,Resultado,Away,Fecha,League,Match Number,River_Resultado
Boca Juniors,1-0,River Plate,2022-09-11,Liga Profesional de Argentina,1,Derrota
River Plate,0-1,Boca Juniors,2022-03-20,Argentine Copa de la Liga Profesional,1,Derrota
River Plate,2-1,Boca Juniors,2021-10-03,Liga Profesional de Argentina,1,Victoria
Boca Juniors,0-0,River Plate,2021-08-05,Copa Argentina,1,Empate
Boca Juniors,1-1,River Plate,2021-05-16,Argentine Copa de la Liga Profesional,1,Empate
River Plate,0-1,Talleres (Córdoba),2022-09-24,Liga Profesional de Argentina,2,Derrota
Talleres (Córdoba),1-0,River Plate,2022-04-21,Argentine Copa de la Liga Profesional,2,Derrota
Talleres (Córdoba),0-2,River Plate,2021-10-22,Liga Profesional de Argentina,2,Victoria
River Plate,0-1,Talleres (Córdoba),2019-08-25,Liga Profesional de Argentina,2,Derrota
Talleres (Córdoba),0-2,River Plate,2019-03-31,Liga Profesional de Argentina,2,Victoria
River Plate,2-1,Platense,2022-10-13,Liga Profesional de Argentina,3,Victoria
River Plate,2-1,Platense,2022-05-09,Argentine Copa de la Liga Profesional,3,Victoria
River Plate,3-0,Platense,2022-01-29,Amistoso,3,Victoria
Platense,0-1,River Plate,2021-11-22,Liga Profesional de Argentina,3,Victoria
Platense,0-1,River Plate,2021-02-28,Argentine Copa de la Liga Profesional,3,Victoria
Vélez Sarsfield,2-2,River Plate,2022-07-18,Liga Profesional de Argentina,4,Empate
River Plate,0-0,Vélez Sarsfield,2022-07-07,CONMEBOL Libertadores,4,Empate
Vélez Sarsfield,1-0,River Plate,2022-06-30,CONMEBOL Libertadores,4,Derrota
River Plate,0-0,Vélez Sarsfield,2022-02-06,Amistoso,4,Empate
River Plate,2-0,Vélez Sarsfield,2021-08-14,Liga Profesional de Argentina,4,Victoria
Defensa y Justicia,0-4,River Plate,2022-09-01,Copa Argentina,5,Victoria
Defensa y Justicia,0-0,River Plate,2022-06-06,Liga Profesional de Argentina,5,Empate
Defensa y Justicia,1-2,River Plate,2022-04-03,Argentine Copa de la Liga Profesional,5,Victoria
River Plate,2-3,Defensa y Justicia,2021-12-06,Liga Profesional de Argentina,5,Derrota
River Plate,1-1,Defensa y Justicia,2020-02-29,Liga Profesional de Argentina,5,Empate
River Plate,3-2,Banfield,2023-02-23,Argentine Trofeo de Campeones,6,Victoria
River Plate,1-2,Banfield,2022-09-15,Liga Profesional de Argentina,6,Derrota
Banfield,1-2,River Plate,2022-04-18,Argentine Copa de la Liga Profesional,6,Victoria
Banfield,0-1,River Plate,2021-10-09,Liga Profesional de Argentina,6,Victoria
Banfield,1-0,River Plate,2021-05-02,Argentine Copa de la Liga Profesional,6,Derrota
River Plate,4-1,Instituto (Córdoba),2017-08-21,Copa Argentina,7,Victoria
River Plate,1-0,Instituto (Córdoba),2012-04-21,Primera Nacional de Argentina,7,Victoria
Instituto (Córdoba),0-0,River Plate,2011-10-15,Primera Nacional de Argentina,7,Empate
River Plate,3-1,Instituto (Córdoba),2006-04-09,Liga Profesional de Argentina,7,Victoria
Instituto (Córdoba),1-4,River Plate,2005-11-13,Liga Profesional de Argentina,7,Victoria
River Plate,2-0,Barracas Central,2022-09-05,Liga Profesional de Argentina,8,Victoria
Barracas Central,0-3,River Plate,2022-07-14,Copa Argentina,8,Victoria
Colón (Santa Fe),1-0,River Plate,2022-06-16,Liga Profesional de Argentina,9,Derrota
River Plate,4-0,Colón (Santa Fe),2021-12-19,Argentine Trofeo de Campeones,9,Victoria
River Plate,1-2,Colón (Santa Fe),2021-07-18,Liga Profesional de Argentina,9,Derrota
River Plate,3-2,Colón (Santa Fe),2021-04-12,Argentine Copa de la Liga Profesional,9,Victoria
River Plate,2-1,Colón (Santa Fe),2019-10-30,Liga Profesional de Argentina,9,Victoria
San Lorenzo,0-1,River Plate,2022-09-18,Liga Profesional de Argentina,10,Victoria
San Lorenzo,0-1,River Plate,2022-03-05,Argentine Copa de la Liga Profesional,10,Victoria
River Plate,3-1,San Lorenzo,2021-10-18,Liga Profesional de Argentina,10,Victoria
River Plate,1-2,San Lorenzo,2021-04-25,Argentine Copa de la Liga Profesional,10,Derrota
River Plate,0-1,San Lorenzo,2019-12-09,Liga Profesional de Argentina,10,Derrota
River Plate,5-0,Estudiantes de La Plata,2022-10-06,Liga Profesional de Argentina,11,Victoria
Estudiantes de La Plata,1-1,River Plate,2021-11-01,Liga Profesional de Argentina,11,Empate
Estudiantes de La Plata,2-1,River Plate,2021-02-15,Argentine Copa de la Liga Profesional,11,Derrota
Estudiantes de La Plata,0-2,River Plate,2020-02-24,Liga Profesional de Argentina,11,Victoria
Estudiantes de La Plata,1-0,River Plate,2018-11-03,Liga Profesional de Argentina,11,Derrota
River Plate,1-2,Rosario Central,2022-10-17,Liga Profesional de Argentina,12,Derrota
Rosario Central,2-2,River Plate,2021-11-28,Liga Profesional de Argentina,12,Empate
River Plate,3-0,Rosario Central,2021-02-21,Argentine Copa de la Liga Profesional,12,Victoria
Rosario Central,0-2,River Plate,2020-11-29,Liga Profesional de Argentina,12,Victoria
River Plate,2-1,Rosario Central,2020-11-08,Liga Profesional de Argentina,12,Victoria
Racing Club,1-2,River Plate,2022-10-23,Liga Profesional de Argentina,13,Victoria
River Plate,2-2,Racing Club,2022-02-27,Argentine Copa de la Liga Profesional,13,Empate
River Plate,4-0,Racing Club,2021-11-26,Liga Profesional de Argentina,13,Victoria
River Plate,0-0,Racing Club,2021-03-28,Argentine Copa de la Liga Profesional,13,Empate
Racing Club,0-5,River Plate,2021-03-05,Supercopa Argentina,13,Victoria
